Time,Activity,Messwert,TestPersonID
1.0,still, 0.00730714,tp12
2.0,still, 0.01121445,tp12
3.0,still, 0.00961046,tp12
4.0,still, 0.00651438,tp12
5.0,still, 0.00803727,tp12
6.0,still, 0.00693175,tp12
7.0,still, 0.00850746,tp12
8.0,still, 0.00336445,tp12
9.0,still, 0.00050804,tp12
10.0,still, 0.01165837,tp12
11.0,still, 0.00310489,tp12
12.0,still, 0.007127,tp12
13.0,still, 0.00542453,tp12
14.0,still, 0.00426147,tp12
15.0,still, 0.00411469,tp12
16.0,still, 0.00442401,tp12
17.0,still, 0.00094175,tp12
18.0,still, 0.0018424,tp12
19.0,still, 0.00645558,tp12
20.0,still, 0.00024642,tp12
21.0,still,-0.0001765,tp12
22.0,still, 0.00192108,tp12
23.0,still,-0.00246467,tp12
24.0,still,-0.00245385,tp12
25.0,still, 0.00340351,tp12
26.0,still, 0.00544841,tp12
27.0,still,-0.00129184,tp12
28.0,still, 0.00170012,tp12
29.0,still, 0.00180042,tp12
30.0,still, 0.00074795,tp12
31.0,still, 0.00413355,tp12
32.0,still, 0.00019876,tp12
33.0,still,-0.00043692,tp12
34.0,still, 0.00472264,tp12
35.0,still,-0.00025125,tp12
36.0,still, 0.00684381,tp12
37.0,still,-0.00276643,tp12
38.0,still, -5.75231388e-05,tp12
39.0,still,  9.72896814e-05,tp12
40.0,still, 0.00397578,tp12
41.0,still, 0.00298033,tp12
42.0,still,-0.00169649,tp12
43.0,still, 0.00332862,tp12
44.0,still, 0.00167574,tp12
45.0,still,-0.00134646,tp12
46.0,still, 0.00479392,tp12
47.0,still,-0.00087965,tp12
48.0,still,-0.0009565,tp12
49.0,still, 0.00142157,tp12
50.0,still,-0.0009005,tp12
51.0,still, 0.00147669,tp12
52.0,still, 0.00297058,tp12
53.0,still, 0.00447248,tp12
54.0,still,-0.00352971,tp12
55.0,still, 0.00282357,tp12
56.0,still, 0.00048008,tp12
57.0,still,-0.00010233,tp12
58.0,still,-0.00061559,tp12
59.0,still, 0.00411935,tp12
60.0,still, 0.00433125,tp12
61.0,still, 0.0023585,tp12
62.0,still, 0.00029334,tp12
63.0,still, -7.54138455e-05,tp12
64.0,still, 0.00243904,tp12
65.0,still,-0.00083929,tp12
66.0,still, 0.00283733,tp12
67.0,still,-0.00253726,tp12
68.0,still, 0.0019519,tp12
69.0,still, 0.00310327,tp12
70.0,still, 0.00026906,tp12
71.0,still, 0.00214152,tp12
72.0,still, 0.00080552,tp12
73.0,still,-0.00023829,tp12
74.0,still,-0.00272077,tp12
75.0,still,-0.00034996,tp12
76.0,still,-0.0030728,tp12
77.0,still,-0.00096908,tp12
78.0,still,-0.00028962,tp12
79.0,still,-0.00480013,tp12
80.0,still,-0.00161012,tp12
81.0,still,-0.00558554,tp12
82.0,still,-0.00102003,tp12
83.0,still,-0.00115628,tp12
84.0,still,-0.00253239,tp12
85.0,still,-0.00316097,tp12
86.0,still,-0.00647598,tp12
87.0,still,-0.00156261,tp12
88.0,still,-0.00841417,tp12
89.0,still,-0.00265332,tp12
90.0,still,-0.00100576,tp12
91.0,still,-0.00335063,tp12
92.0,still,-0.00402487,tp12
93.0,still,-0.00468875,tp12
94.0,still,-0.00382775,tp12
95.0,still, 0.00017143,tp12
96.0,still,-0.00530915,tp12
97.0,still,-0.00077267,tp12
98.0,still,-0.00496642,tp12
99.0,still,-0.00073728,tp12
100.0,still,-0.0046583,tp12
101.0,still, 0.00047567,tp12
102.0,still,-0.01182343,tp12
103.0,still,-0.003281,tp12
104.0,still,-0.00389095,tp12
105.0,still,-0.00391595,tp12
106.0,still, 0.00075517,tp12
107.0,still,-0.00145826,tp12
108.0,still,-0.00376017,tp12
109.0,still,-0.0076939,tp12
110.0,still,-0.00451082,tp12
111.0,still,-0.00394891,tp12
112.0,still,-0.00412185,tp12
113.0,still,-0.00071729,tp12
114.0,still, 0.00042594,tp12
115.0,still, 0.00349103,tp12
116.0,still,-0.00409166,tp12
117.0,still,-0.0036864,tp12
118.0,still,-0.00137827,tp12
119.0,still,-0.00331458,tp12
120.0,still,-0.01055351,tp12
121.0,still,-0.0016299,tp12
122.0,still,-0.00655976,tp12
123.0,still,-0.00072321,tp12
124.0,still,-0.00960363,tp12
125.0,still, 0.00042886,tp12
126.0,still,-0.00192434,tp12
127.0,still,-0.00527267,tp12
128.0,still,-0.00263388,tp12
129.0,still, 0.00544932,tp12
130.0,still,-0.0010061,tp12
131.0,still, 0.00181209,tp12
132.0,still,-0.00507462,tp12
133.0,still, 0.00449837,tp12
134.0,still,-0.00157959,tp12
135.0,still,-0.00568988,tp12
136.0,still,-0.00574053,tp12
137.0,still,-0.00276056,tp12
138.0,still,-0.00273218,tp12
139.0,still,-0.00134076,tp12
140.0,still,-0.00399854,tp12
141.0,still,-0.00095213,tp12
142.0,still,-0.00370597,tp12
143.0,still,-0.00578277,tp12
144.0,still,-0.00392069,tp12
145.0,still,-0.00253994,tp12
146.0,still,-0.01296297,tp12
147.0,still,-0.00947858,tp12
148.0,still,-0.00598381,tp12
149.0,still, 0.00206468,tp12
150.0,still,-0.00218294,tp12
151.0,still,-0.00333863,tp12
152.0,still,-0.00617334,tp12
153.0,still,-0.00920804,tp12
154.0,still,-0.00392729,tp12
155.0,still,-0.00384317,tp12
156.0,still,-0.00906104,tp12
157.0,still, -5.46602532e-05,tp12
158.0,still,-0.00644806,tp12
159.0,still, 0.002975,tp12
160.0,still,-0.00588596,tp12
161.0,still,-0.00486184,tp12
162.0,still,-0.00397342,tp12
163.0,still,-0.00140125,tp12
164.0,still,-0.00680336,tp12
165.0,still,-0.00152297,tp12
166.0,still,-0.00689209,tp12
167.0,still,-0.00600187,tp12
168.0,still,-0.00691134,tp12
169.0,still,-0.00283873,tp12
170.0,still,-0.00521738,tp12
171.0,still,-0.00710611,tp12
172.0,still,-0.00932981,tp12
173.0,still,-0.00297734,tp12
174.0,still,-0.00674473,tp12
175.0,still, 0.00323618,tp12
176.0,still,-0.00286382,tp12
177.0,still,-0.00114926,tp12
178.0,still,-0.00442773,tp12
179.0,still,-0.00275016,tp12
180.0,still,-0.00427765,tp12
181.0,still,-0.00487344,tp12
182.0,still,-0.00412708,tp12
